Tree	q1	q2	cellpop	coars	cryst	dens	mfa	moe	rad	rwidth	specsurf	tad	cellwt	h97
E560A3_1_001_5	2.854	1.932	1496.516	273.7225	2.6362	411.4533	21.6215	8.9021	27.9302	3.5132	403.3307	25.1267	1.9088	480
E560A3_1_002_1	1.015	0.057	1278.2485	327.0422	2.5825	412.9375	19.9248	9.0111	28.815	2.8727	363.3688	28.3817	2.0883	575
E560A3_1_003_4	2.006	-0.972	1143.5264	355.7912	2.4591	406.0072	25.9364	6.644	30.7658	3.701	353.2512	29.7305	2.1565	725
E560A3_1_004_2	2.023	-2.276	1535.6448	297.1181	2.72	456.4901	14.7842	13.545	26.9164	2.575	367.2523	25.4213	2.1193	520
E560A3_1_004_3	0.764	-2.041	1446.3479	292.0211	2.5402	419.4878	25.4876	6.8925	28.1806	2.8226	378.5956	25.535	1.9891	460
E560A3_1_005_4	0.312	0.67	1473.4526	293.6721	2.5887	434.2391	19.8139	10.0984	27.9211	2.4028	373.1823	25.0462	2.0442	400
E560A3_1_006_2	1.025	-1.332	1376.4034	327.2361	2.5974	449.1295	21.9698	9.5097	28.5262	2.7318	349.9763	26.463	2.2023	495
E560A3_1_006_3	0.248	1.907	1198.1985	368.3536	2.6367	443.3135	13.0708	12.8555	29.7359	2.7417	333.0925	29.0372	2.3234	540
E560A3_1_006_4	1.87	-3.731	1356.818	300.0825	2.6182	409.3198	19.0213	9.5938	27.8114	2.9222	383.3505	27.5358	1.9959	370
E560A3_1_007_1	1.104	-0.617	1353.4794	337.7823	2.6407	455.7497	14.1948	13.2223	29.1298	2.1	343.4297	26.4432	2.2571	405
E560A3_1_007_2	2.563	-1.757	1365.9883	318.3692	2.6067	437.768	19.6415	9.8027	28.3064	2.9278	364.1377	27.0866	2.1418	480
E560A3_1_008_4	1.882	-0.703	1419.4391	324.3968	2.6235	462.3954	12.7142	13.9755	27.0083	2.1395	343.9417	27.0825	2.2356	525
E560A3_1_009_2	0.898	0.499	1847.8226	275.9292	2.6567	515.9997	15.7859	13.9311	23.0131	2.475	358.4846	24.4353	2.2067	580
E560A3_1_010_1	-0.466	-0.182	1748.572	260.7019	2.6331	456.1105	16.8923	11.6752	25.4489	2.7462	385.5818	23.2759	1.9816	320
E560A3_1_010_3	2.674	-0.72	1521.3174	315.1525	2.6393	474.333	15.6679	13.2017	26.9166	2.86	349.2209	25.677	2.2336	410
E560A3_1_011_4	0.783	-3.556	1439.8387	280.9297	2.6212	404.0975	21.2709	8.6876	26.9089	3.5812	397.8243	26.9595	1.911	560
E560A3_1_012_1	1.808	-3.141	1605.1497	261.4519	2.5598	419.6049	26.9261	7.2325	27.1915	4.25	408.4921	23.8661	1.8891	520
E560A3_1_012_4	-0.185	-2.246	1559.3528	276.1511	2.64	430.633	17.2967	10.9151	28.1676	2.95	383.8106	23.5479	1.9609	350
E560A3_1_013_4	0.284	-0.197	1352.1599	345.2743	2.6758	459.6751	15.4117	12.2863	29.3511	3.8028	335.5573	26.655	2.284	640
E560A3_1_014_2	2.741	0.502	1591.7449	289.1	2.652	458.0575	15.341	11.7517	27.1934	2.9967	364.8896	24.2401	2.0862	510
E560A3_1_014_5	2.168	-1.364	1431.6949	291.4501	2.6598	417.895	13.977	12.2793	27.2066	3.0712	381.8474	26.6582	1.9897	410
E560A3_1_015_3	2.23	2.411	1487.6591	271.1032	2.5934	403.6319	21.9683	8.4683	26.8787	2.5441	407.0424	26.0198	1.8805	425
E560A3_1_016_1	2.615	-1.119	1319.6389	363.0725	2.6314	481.999	14.6051	12.8534	26.9759	2.5605	321.8021	28.9099	2.4294	490
E560A3_1_017_1	4.226	-0.882	1404.7677	303.5243	2.6328	423.9417	19.9895	9.9009	27.8547	2.7867	368.1732	26.5813	2.0443	440
E560A3_1_017_3	2.037	-3.009	1344.6735	367.082	2.598	486.4843	19.0575	11.2111	28.1949	2.7205	321.0589	28.3048	2.4384	540
E560A3_1_017_4	2.275	-1.488	1375.6521	280.2925	2.7807	377.2665	17.9651	9.7171	29.0503	3.3156	409.8697	26.686	1.8232	535
E560A3_1_017_5	0.948	-3.056	1361.4992	286.8459	2.5808	389.1979	19.1551	8.7233	29.4616	2.3132	397.3725	25.7758	1.8859	380
E560A3_1_020_3	2.252	0.208	1614.9518	281.6988	2.5996	451.736	19.1953	10.6241	25.4071	3.1167	369.8032	25.2707	2.0452	490
E560A3_1_020_5	1.775	-1.774	1283.9059	311.2072	2.5955	400.5894	21.5055	8.1833	29.5677	3.4612	377.2424	27.3075	2.0031	520
E560A3_1_021_1	2.599	-2.496	1306.6087	295.0099	2.6073	383.422	16.1959	9.5387	29.4103	3.3597	397.3866	27.2734	1.8983	480
E560A3_1_021_2	1.415	-0.642	1439.9429	309.4733	2.629	442.1851	18.6655	10.5754	26.4932	3.1066	368.6497	27.5392	2.1225	490
E560A3_1_021_4	1.772	0.461	1340.5034	335.1491	2.6206	449.5035	17.8246	10.7859	28.3531	2.7264	346.9942	27.72	2.2272	440
E560A3_1_022_2	1.647	-1.698	1475.5383	296.9691	2.5852	434.9298	17.5752	9.99	27.3609	2.8042	371.8536	25.7532	2.0533	550
E560A3_1_022_3	2.719	0.301	1246.0469	343.8669	2.529	427.9154	23.095	8.1195	30.6854	2.8988	351.6694	27.6252	2.1855	520
E560A3_1_023_2	0.683	-2.079	1454.8874	313.2457	2.6179	452.6186	12.1241	13.7693	26.2145	1.8958	356.487	27.2838	2.1611	350
E560A3_1_024_3	1.327	-1.747	1623.7815	308.1622	2.5704	495.444	15.8733	11.8533	24.8429	2.2145	344.0353	25.7209	2.2699	420
E560A3_1_024_4	1.605	-1.097	1658.5098	267.4072	2.6422	445.6458	17.0202	11.0859	24.5054	2.79	389.3349	25.6309	1.9826	490
E560A3_1_025_4	0.286	-0.915	1472.8308	266.5855	2.6531	396.6911	21.8536	8.1095	28.5233	3.4146	411.5778	24.4208	1.842	380
E560A3_1_027_4	3.666	-1.518	1720.2785	275.7602	2.6162	465.8319	17.2802	11.3958	25.2112	2.8306	371.9255	24.1874	2.0631	530
E560A3_1_028_1	1.414	-1.055	1572.1465	282.4109	2.5916	445.0417	16.703	10.6699	27.083	2.7515	377.1379	24.1738	2.0366	360
E560A3_1_028_4	2.075	-1.415	1513.7622	263.1975	2.6644	405.7132	21.528	8.7501	27.5296	3.0038	414.5687	24.8448	1.8623	490
E560A3_1_030_3	2.074	-1.987	1336.8707	345.9909	2.6098	463.21	17.692	11.7375	28.0403	2.1812	334.8305	27.5099	2.3135	475
E560A3_1_030_4	-0.207	-0.414	1405.1077	378.5595	2.6225	529.8008	18.8035	12.5877	27.5289	2.1071	296.5601	26.8424	2.6168	480
E560A3_1_031_3	0.584	-1.769	1428.7817	310.7566	2.6027	439.3621	18.6031	10.5919	28.8658	2.6487	364.8191	25.5969	2.1085	420
E560A3_1_032_1	1.183	-0.723	1298.2329	309.0193	2.5348	402.5119	28.1331	6.6322	29.6556	3.8357	378.5319	26.7958	2.0032	570
