"","Marker_Name","Chromosome","Position"
"1","PGAS1_00001",1,100000
"2","PGAS1_00002",1,200000
"3","PGAS1_00003",1,300000
"4","PGAS1_00004",1,400000
"5","PGAS1_00005",1,500000
"6","PGAS1_00007",1,700000
"7","PGAS1_00009",1,900000
"8","PGAS1_00010",1,1000000
"9","PGAS1_00012",1,1200000
"10","PGAS1_00014",1,1400000
"11","PGAS1_00015",1,1500000
"12","PGAS1_00016",1,1600000
"13","PGAS1_00018",1,1800000
"14","PGAS1_00019",1,1900000
"15","PGAS1_00020",1,2000000
"16","PGAS1_00022",1,2200000
"17","PGAS1_00023",1,2300000
"18","PGAS1_00024",1,2400000
"19","PGAS1_00025",1,2500000
"20","PGAS1_00026",1,2600000
"21","PGAS1_00027",1,2700000
"22","PGAS1_00028",1,2800000
"23","PGAS1_00029",1,2900000
"24","PGAS1_00030",1,3000000
"25","PGAS1_00031",1,3100000
"26","PGAS1_00032",1,3200000
"27","PGAS1_00033",1,3300000
"28","PGAS1_00035",1,3500000
"29","PGAS1_00036",1,3600000
"30","PGAS1_00037",1,3700000
"31","PGAS1_00039",1,3900000
"32","PGAS1_00040",1,4000000
"33","PGAS1_00041",1,4100000
"34","PGAS1_00042",1,4200000
"35","PGAS1_00043",1,4300000
"36","PGAS1_00044",1,4400000
"37","PGAS1_00045",1,4500000
"38","PGAS1_00046",1,4600000
"39","PGAS1_00047",1,4700000
"40","PGAS1_00048",1,4800000
"41","PGAS1_00049",1,4900000
"42","PGAS1_00050",1,5000000
"43","PGAS1_00051",1,5100000
"44","PGAS1_00052",1,5200000
"45","PGAS1_00053",1,5300000
"46","PGAS1_00054",1,5400000
"47","PGAS1_00055",1,5500000
"48","PGAS1_00056",1,5600000
"49","PGAS1_00057",1,5700000
"50","PGAS1_00058",1,5800000
"51","PGAS1_00059",1,5900000
"52","PGAS1_00060",1,6000000
"53","PGAS1_00061",1,6100000
"54","PGAS1_00062",1,6200000
"55","PGAS1_00063",1,6300000
"56","PGAS1_00065",1,6500000
"57","PGAS1_00066",1,6600000
"58","PGAS1_00067",1,6700000
"59","PGAS1_0.0068",1,680
"60","PGAS1_00070",1,7000000
"61","PGAS1_00071",1,7100000
"62","PGAS1_00074",1,7400000
"63","PGAS1_00075",1,7500000
"64","PGAS1_00076",1,7600000
"65","PGAS1_00078",1,7800000
"66","PGAS1_00079",1,7900000
"67","PGAS1_00080",1,8000000
"68","PGAS1_00081",1,8100000
"69","PGAS1_00082",1,8200000
"70","PGAS1_00083",1,8300000
"71","PGAS1_00084",1,8400000
"72","PGAS1_00085",1,8500000
"73","PGAS1_00086",1,8600000
"74","PGAS1_00088",1,8800000
"75","PGAS1_00090",1,9000000
"76","PGAS1_00091",1,9100000
"77","PGAS1_00092",1,9200000
"78","PGAS1_00093",1,9300000
"79","PGAS1_00094",1,9400000
"80","PGAS1_00095",1,9500000
"81","PGAS1_00096",1,9600000
