Marker_Name,Chromosome,Position,Position,,
PGAS1_00001,1,00001,100000,,
PGAS1_00002,1,00002,200000,,
PGAS1_00003,1,00003,300000,,
PGAS1_00004,1,00004,400000,,
PGAS1_00005,1,00005,500000,,
PGAS1_00007,1,00007,700000,,
PGAS1_00009,1,00009,900000,,
PGAS1_00010,1,00010,1000000,,
PGAS1_00012,1,00012,1200000,,
PGAS1_00014,1,00014,1400000,,
PGAS1_00015,1,00015,1500000,,
PGAS1_00016,1,00016,1600000,,
PGAS1_00018,1,00018,1800000,,
PGAS1_00019,1,00019,1900000,,
PGAS1_00020,1,00020,2000000,,
PGAS1_00022,1,00022,2200000,,
PGAS1_00023,1,00023,2300000,,
PGAS1_00024,1,00024,2400000,,
PGAS1_00025,1,00025,2500000,,
PGAS1_00026,1,00026,2600000,,
PGAS1_00027,1,00027,2700000,,
PGAS1_00028,1,00028,2800000,,
PGAS1_00029,1,00029,2900000,,
PGAS1_00030,1,00030,3000000,,
PGAS1_00031,1,00031,3100000,,
PGAS1_00032,1,00032,3200000,,
PGAS1_00033,1,00033,3300000,,
PGAS1_00035,1,00035,3500000,,
PGAS1_00036,1,00036,3600000,,
PGAS1_00037,1,00037,3700000,,
PGAS1_00039,1,00039,3900000,,
PGAS1_00040,1,00040,4000000,,
PGAS1_00041,1,00041,4100000,,
PGAS1_00042,1,00042,4200000,,
PGAS1_00043,1,00043,4300000,,
PGAS1_00044,1,00044,4400000,,
PGAS1_00045,1,00045,4500000,,
PGAS1_00046,1,00046,4600000,,
PGAS1_00047,1,00047,4700000,,
PGAS1_00048,1,00048,4800000,,
PGAS1_00049,1,00049,4900000,,
PGAS1_00050,1,00050,5000000,,
PGAS1_00051,1,00051,5100000,,
PGAS1_00052,1,00052,5200000,,
PGAS1_00053,1,00053,5300000,,
PGAS1_00054,1,00054,5400000,,
PGAS1_00055,1,00055,5500000,,
PGAS1_00056,1,00056,5600000,,
PGAS1_00057,1,00057,5700000,,
PGAS1_00058,1,00058,5800000,,
PGAS1_00059,1,00059,5900000,,
PGAS1_00060,1,00060,6000000,,
PGAS1_00061,1,00061,6100000,,
PGAS1_00062,1,00062,6200000,,
PGAS1_00063,1,00063,6300000,,
PGAS1_00065,1,00065,6500000,,
PGAS1_00066,1,00066,6600000,,
PGAS1_00067,1,00067,6700000,,
PGAS1_0.0068,1,.0068,680,,
PGAS1_00070,1,00070,7000000,,
PGAS1_00071,1,00071,7100000,,
PGAS1_00074,1,00074,7400000,,
PGAS1_00075,1,00075,7500000,,
PGAS1_00076,1,00076,7600000,,
PGAS1_00078,1,00078,7800000,,
PGAS1_00079,1,00079,7900000,,
PGAS1_00080,1,00080,8000000,,
PGAS1_00081,1,00081,8100000,,
PGAS1_00082,1,00082,8200000,,
PGAS1_00083,1,00083,8300000,,
PGAS1_00084,1,00084,8400000,,
PGAS1_00085,1,00085,8500000,,
PGAS1_00086,1,00086,8600000,,
PGAS1_00088,1,00088,8800000,,
PGAS1_00090,1,00090,9000000,,
PGAS1_00091,1,00091,9100000,,
PGAS1_00092,1,00092,9200000,,
PGAS1_00093,1,00093,9300000,,
PGAS1_00094,1,00094,9400000,,
PGAS1_00095,1,00095,9500000,,
PGAS1_00096,1,00096,9600000,,
PGAS1_00097,1,00097,9700000,,
PGAS1_00098,1,00098,9800000,,
PGAS1_00099,1,00099,9900000,,
PGAS1_00100,1,00100,10000000,,
PGAS1_00101,1,00101,10100000,,
PGAS1_00102,1,00102,10200000,,
PGAS1_00103,1,00103,10300000,,
PGAS1_00105,1,00105,10500000,,
PGAS1_00106,1,00106,10600000,,
PGAS1_00107,1,00107,10700000,,
PGAS1_00108,1,00108,10800000,,
PGAS1_00109,1,00109,10900000,,
PGAS1_00110,1,00110,11000000,,
PGAS1_00111,1,00111,11100000,,
PGAS1_00115,1,00115,11500000,,
PGAS1_00116,1,00116,11600000,,
PGAS1_00117,1,00117,11700000,,
PGAS1_00118,1,00118,11800000,,
PGAS1_00120,1,00120,12000000,,
PGAS1_00122,1,00122,12200000,,
PGAS1_00123,1,00123,12300000,,
PGAS1_00124,1,00124,12400000,,
PGAS1_00125,1,00125,12500000,,
PGAS1_00126,1,00126,12600000,,
PGAS1_00128,1,00128,12800000,,
PGAS1_00130,1,00130,13000000,,
PGAS1_00131,1,00131,13100000,,
PGAS1_00132,1,00132,13200000,,
PGAS1_00134,1,00134,13400000,,
PGAS1_00135,1,00135,13500000,,
PGAS1_00136,1,00136,13600000,,
PGAS1_00138,1,00138,13800000,,
PGAS1_00140,1,00140,14000000,,
PGAS1_00141,1,00141,14100000,,
PGAS1_00142,1,00142,14200000,,
PGAS1_00143,1,00143,14300000,,
PGAS1_00145,1,00145,14500000,,
PGAS1_00146,1,00146,14600000,,
PGAS1_00151,1,00151,15100000,,
PGAS1_00152,1,00152,15200000,,
PGAS1_00155,1,00155,15500000,,
PGAS1_00157,1,00157,15700000,,
PGAS1_00158,1,00158,15800000,,
PGAS1_00159,1,00159,15900000,,
PGAS1_00160,1,00160,16000000,,
PGAS1_00162,1,00162,16200000,,
PGAS1_00163,1,00163,16300000,,
PGAS1_00164,1,00164,16400000,,
PGAS1_00166,1,00166,16600000,,
PGAS1_00168,1,00168,16800000,,
PGAS1_00169,1,00169,16900000,,
PGAS1_00171,1,00171,17100000,,
PGAS1_00173,1,00173,17300000,,
PGAS1_00174,1,00174,17400000,,
PGAS1_00176,1,00176,17600000,,
PGAS1_00177,1,00177,17700000,,
PGAS1_00179,1,00179,17900000,,
PGAS1_00180,1,00180,18000000,,
PGAS1_00181,1,00181,18100000,,
PGAS1_00182,1,00182,18200000,,
PGAS1_00183,1,00183,18300000,,
PGAS1_00184,1,00184,18400000,,
PGAS1_00186,1,00186,18600000,,
PGAS1_00187,1,00187,18700000,,
PGAS1_00188,1,00188,18800000,,
PGAS1_00189,1,00189,18900000,,
PGAS1_00190,1,00190,19000000,,
PGAS1_00191,1,00191,19100000,,
PGAS1_00192,1,00192,19200000,,
PGAS1_00193,1,00193,19300000,,
PGAS1_00196,1,00196,19600000,,
PGAS1_00199,1,00199,19900000,,
PGAS1_00201,1,00201,20100000,,
PGAS1_00202,1,00202,20200000,,
PGAS1_00203,1,00203,20300000,,
PGAS1_00204,1,00204,20400000,,
PGAS1_00205,1,00205,20500000,,
PGAS1_00206,1,00206,20600000,,
PGAS1_00207,1,00207,20700000,,
PGAS1_00208,1,00208,20800000,,
PGAS1_00209,1,00209,20900000,,
PGAS1_00210,1,00210,21000000,,
PGAS1_00211,1,00211,21100000,,
PGAS1_00212,1,00212,21200000,,
PGAS1_00215,1,00215,21500000,,
PGAS1_00217,1,00217,21700000,,
PGAS1_00219,1,00219,21900000,,
PGAS1_00220,1,00220,22000000,,
PGAS1_00222,1,00222,22200000,,
PGAS1_00223,1,00223,22300000,,
PGAS1_00224,1,00224,22400000,,
PGAS1_00226,1,00226,22600000,,
PGAS1_00227,1,00227,22700000,,
PGAS1_00229,1,00229,22900000,,
PGAS1_00231,1,00231,23100000,,
PGAS1_00232,1,00232,23200000,,
PGAS1_00233,1,00233,23300000,,
PGAS1_00235,1,00235,23500000,,
PGAS1_00238,1,00238,23800000,,
PGAS1_00239,1,00239,23900000,,
PGAS1_00240,1,00240,24000000,,
PGAS1_00241,1,00241,24100000,,
PGAS1_00242,1,00242,24200000,,
PGAS1_00243,1,00243,24300000,,
PGAS1_00245,1,00245,24500000,,
PGAS1_00247,1,00247,24700000,,
PGAS1_00249,1,00249,24900000,,
PGAS1_00250,1,00250,25000000,,
PGAS1_00251,1,00251,25100000,,
PGAS1_00252,1,00252,25200000,,
PGAS1_00254,1,00254,25400000,,
PGAS1_00255,1,00255,25500000,,
PGAS1_00256,1,00256,25600000,,
PGAS1_00258,1,00258,25800000,,
PGAS1_00259,1,00259,25900000,,
PGAS1_00260,1,00260,26000000,,
PGAS1_00261,1,00261,26100000,,
PGAS1_00263,1,00263,26300000,,
PGAS1_00264,1,00264,26400000,,
PGAS1_00265,1,00265,26500000,,
PGAS1_00266,1,00266,26600000,,
PGAS1_00268,1,00268,26800000,,
PGAS1_00269,1,00269,26900000,,
PGAS1_00270,1,00270,27000000,,
PGAS1_00271,1,00271,27100000,,
PGAS1_00272,1,00272,27200000,,
PGAS1_00273,1,00273,27300000,,
PGAS1_00274,1,00274,27400000,,
PGAS1_00275,1,00275,27500000,,
PGAS1_00276,1,00276,27600000,,
PGAS1_00277,1,00277,27700000,,
PGAS1_00278,1,00278,27800000,,
PGAS1_00280,1,00280,28000000,,
PGAS1_00281,1,00281,28100000,,
PGAS1_00282,1,00282,28200000,,
PGAS1_00285,1,00285,28500000,,
PGAS1_00286,1,00286,28600000,,
PGAS1_00287,1,00287,28700000,,
PGAS1_00288,1,00288,28800000,,
PGAS1_00290,1,00290,29000000,,
PGAS1_00291,1,00291,29100000,,
PGAS1_00292,1,00292,29200000,,
PGAS1_00294,1,00294,29400000,,
PGAS1_00295,1,00295,29500000,,
PGAS1_00297,1,00297,29700000,,
PGAS1_00298,1,00298,29800000,,
PGAS1_00299,1,00299,29900000,,
PGAS1_00300,1,00300,30000000,,
PGAS1_00301,1,00301,30100000,,
PGAS1_00304,1,00304,30400000,,
PGAS1_00305,1,00305,30500000,,
PGAS1_00306,1,00306,30600000,,
PGAS1_00307,1,00307,30700000,,
PGAS1_00308,1,00308,30800000,,
PGAS1_00309,1,00309,30900000,,
PGAS1_00310,1,00310,31000000,,
PGAS1_00312,1,00312,31200000,,
PGAS1_00314,1,00314,31400000,,
PGAS1_00316,1,00316,31600000,,
PGAS1_00317,1,00317,31700000,,
PGAS1_00318,1,00318,31800000,,
PGAS1_00319,1,00319,31900000,,
PGAS1_00320,1,00320,32000000,,
PGAS1_00321,1,00321,32100000,,
PGAS1_00322,1,00322,32200000,,
PGAS1_00323,1,00323,32300000,,
PGAS1_00324,1,00324,32400000,,
PGAS1_00325,1,00325,32500000,,
PGAS1_00327,1,00327,32700000,,
PGAS1_00330,1,00330,33000000,,
PGAS1_00331,1,00331,33100000,,
PGAS1_00332,1,00332,33200000,,
PGAS1_00334,1,00334,33400000,,
PGAS1_00336,1,00336,33600000,,
PGAS1_00338,1,00338,33800000,,
PGAS1_00339,1,00339,33900000,,
PGAS1_00340,1,00340,34000000,,
PGAS1_00341,1,00341,34100000,,
PGAS1_00342,1,00342,34200000,,
PGAS1_00343,1,00343,34300000,,
PGAS1_00344,1,00344,34400000,,
